sample_mode,predictor,label,domain,test,outcome,coef,se_CR2,t,p_CR2,N,G,note
native,CASA,CASA,Baseline,CI baseline,CI,0.0016089657612872142,0.00039459608276194995,4.077500592568891,0.0004059302982240646,273,26,Franchise / transactional deposit structure
native,CASA,CASA,Temporal,X × Post2020,CI,-0.0005145894635639323,0.0003318244592264726,-1.5507882232777823,0.13352068001762116,273,26,
native,CASA,CASA,Temporal,Pre-2020 slope,CI,0.0019513209237539625,0.0004607933279005781,4.234698737163539,0.00027063239176265837,273,26,
native,CASA,CASA,Temporal,Post-2020 slope,CI,0.0014367314601900303,0.0004329382776357246,3.3185595601202533,0.0027748659965454643,273,26,
native,CASA,CASA,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,0.0012726969403169092,0.0004650829816464437,2.736494325832834,0.011262826158486889,272,26,
native,CASA,CASA,Cost reconfiguration,H4 direct composition share,AssetCostShare_raw,-0.007673073269694966,0.009426107737794008,-0.814023506110561,0.4233176399819505,272,26,
native,CASA,CASA,Cost reconfiguration,H4 Staff component,Staff_raw,0.0005421742535899353,0.000284905099932242,1.9029994679592561,0.06861736231455996,272,26,
native,CASA,CASA,Cost reconfiguration,H4 AssetCost component,AssetCost_raw,0.00016830657187226814,0.00012338827019521252,1.3640402901020525,0.18471047111025482,272,26,
native,CASA,CASA,Cost reconfiguration,H4 Other component,Other_raw,0.0008988292585992415,0.0003540984552804222,2.5383597279107843,0.01774216490970599,272,26,
native,CASA,CASA,Physical network,ln(network count),lnNetwork,-0.05145324024103509,0.05684633538870882,-0.9051285344816626,0.3740379984582114,273,26,
native,CASA,CASA,Physical network,network/TA intensity,NetworkIntensity,-6.248205315196222,7.444386144297862,-0.8393177347446071,0.4092455831200218,273,26,
native,CASA,CASA,Scale,BIG bank-year interaction,CI,-0.0011418163851825555,0.0007430259493089857,-1.5367113170737106,0.13692510266323188,273,26,
native,CASA,CASA,Scale,Small-bank slope,CI,0.0023865137564116163,0.0005816619493207079,4.102922254410314,0.0003802091179465528,273,26,
native,CASA,CASA,Scale,Large-bank slope,CI,0.0012446973712290609,0.0006162666043977776,2.0197384741387903,0.05425125185365126,273,26,
native,CASA,CASA,Scale,BIG fixed mean,CI,-0.0005066704470783439,0.000717652402259529,-0.7060109399523944,0.4867090883387106,273,26,
native,CASA,CASA,Scale,BIG fixed 2015,CI,-0.0009802700290426013,0.0007920701614490597,-1.2376050465646096,0.2273606206724208,273,26,
native,CASA,CASA,Scale,Continuous lnTA interaction,CI,-0.000448354242070059,0.0002490791241122336,-1.8000474494523806,0.0839331805024439,273,26,
native,SW_delta,Software net change,Baseline,CI baseline,CI,0.0003944387155660614,0.0003091650074652828,1.2758194040130957,0.21374646686598534,271,26,Current-period net change in gross software value
native,SW_delta,Software net change,Temporal,X × Post2020,CI,-0.0022843902078300725,0.0007751890017300685,-2.9468816027210982,0.006857570517504024,271,26,
native,SW_delta,Software net change,Temporal,Pre-2020 slope,CI,0.0025951065544607484,0.0008564185512171503,3.030184891222356,0.005615112996440842,271,26,
native,SW_delta,Software net change,Temporal,Post-2020 slope,CI,0.00031071634663067593,0.00020772704884343404,1.4957914646198336,0.14722612309640903,271,26,
native,SW_delta,Software net change,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,3.479599814865399e-05,0.00032035279544888746,0.10861774469580278,0.9143727901757578,270,26,
native,SW_delta,Software net change,Cost reconfiguration,H4 direct composition share,AssetCostShare_raw,0.009538597314767134,0.003266222617273579,2.9203757466872564,0.007305049291709091,270,26,
native,SW_delta,Software net change,Cost reconfiguration,H4 Staff component,Staff_raw,-0.0002415366243481041,0.00024144711185092747,-1.0003707333522875,0.3267160612192438,270,26,
